Id,MS Zoning,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Full Bath,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Sale Type,SalePrice,Age_Built,Age_Remod,Age_Garage
109,RL,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,Gable,HdBoard,Plywood,BrkFace,4,CBlock,3,725.0,5,725,1479,2,1,4,6,0,0,Attchd,2,2.0,475.0,WD ,130500,34,5,34.0
544,RL,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,4,PConc,4,913.0,5,913,2122,2,1,4,8,1,3,Attchd,2,2.0,559.0,WD ,220000,13,12,12.0
153,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,3,CBlock,3,1057.0,3,1057,1057,1,1,4,5,0,0,Detchd,1,1.0,246.0,WD ,109000,57,3,57.0
318,RL,Lvl,Inside,Timber,Norm,1Fam,2Story,5,Gable,VinylSd,VinylSd,None,3,PConc,4,384.0,4,744,1444,2,1,3,7,0,0,BuiltIn,3,2.0,400.0,WD ,174000,4,3,3.0
255,RL,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,Gable,Wd Sdng,Plywood,None,3,PConc,2,676.0,3,831,1445,2,1,3,6,0,0,Detchd,1,2.0,484.0,WD ,138500,110,17,53.0
2827,RM,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,Gable,VinylSd,VinylSd,BrkFace,3,PConc,4,547.0,4,1072,1072,2,1,3,5,0,0,Basment,3,2.0,525.0,New,140000,1,0,1.0
145,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,Hip,Plywood,Plywood,BrkFace,3,CBlock,3,1188.0,2,1188,1188,1,1,3,6,0,0,Attchd,2,2.0,531.0,COD,142000,51,51,51.0
1942,RL,Lvl,Inside,OldTown,Artery,1Fam,1Story,5,Gable,Wd Sdng,Wd Sdng,None,3,CBlock,3,924.0,3,924,924,1,1,3,6,0,0,Detchd,1,1.0,420.0,WD ,112500,55,55,55.0
1956,RL,HLS,Inside,NAmes,Norm,1Fam,2Story,5,Gable,Plywood,Plywood,BrkFace,3,PConc,4,1040.0,3,1040,2080,1,1,2,9,2,3,Attchd,1,2.0,504.0,WD ,135000,38,38,38.0
1044,RM,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,Gable,HdBoard,HdBoard,BrkFace,3,CBlock,3,483.0,3,483,987,1,1,3,4,0,0,Detchd,1,1.0,264.0,COD,85400,37,37,37.0
2752,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,4,PConc,4,1208.0,5,1208,1208,2,1,4,6,0,0,Attchd,2,2.0,632.0,WD ,183600,1,1,1.0
807,RL,Bnk,FR2,SawyerW,Feedr,1Fam,2Story,5,Gable,HdBoard,HdBoard,None,4,PConc,0,0.0,5,1288,2016,1,1,3,7,1,3,Attchd,1,2.0,576.0,WD ,131000,129,2,109.0
1177,FV,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,Gable,MetalSd,MetalSd,BrkFace,4,PConc,4,960.0,5,962,1607,2,1,4,7,0,0,Detchd,1,2.0,480.0,ConLD,200000,9,8,8.0
1480,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,None,4,PConc,4,1351.0,5,1361,1361,2,1,4,6,0,0,Attchd,2,2.0,610.0,WD ,193000,1,1,1.0
324,RL,Lvl,Inside,Mitchel,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,3,PConc,5,1430.0,5,1430,1430,2,1,4,7,0,0,Attchd,2,2.0,624.0,WD ,173500,6,5,6.0
1311,RM,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,Gable,AsbShng,AsbShng,None,3,BrkTil,3,624.0,2,624,1344,1,1,3,7,0,0,Detchd,1,3.0,513.0,COD,98000,92,58,92.0
770,RL,Lvl,Corner,Sawyer,Feedr,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,3,PConc,3,1121.0,3,1121,1121,1,1,3,5,0,0,Detchd,1,2.0,480.0,WD ,139000,46,46,46.0
2063,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,6,Gable,Plywood,Plywood,BrkFace,3,CBlock,3,660.0,5,1285,1285,1,1,3,7,1,3,Attchd,2,2.0,528.0,WD ,143500,30,30,30.0
69,FV,Lvl,Inside,Somerst,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,None,3,PConc,4,756.0,5,764,1547,2,1,4,7,0,0,Attchd,1,2.0,614.0,Con,215200,1,1,1.0
2062,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,3,CBlock,4,894.0,4,894,894,1,1,3,5,1,1,Attchd,3,2.0,450.0,WD ,129000,39,39,39.0
351,RL,Lvl,Inside,StoneBr,Norm,TwnhsE,1Story,8,Gable,CemntBd,CmentBd,None,4,PConc,4,1501.0,5,1659,1659,2,1,5,5,1,5,Attchd,3,2.0,499.0,WD ,278000,9,9,9.0
2393,RL,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,Gable,CemntBd,CmentBd,None,4,PConc,5,1209.0,5,1209,2253,2,1,5,8,1,4,Attchd,3,2.0,575.0,New,344133,1,0,1.0
12,RL,Lvl,Inside,Gilbert,Norm,1Fam,1Story,6,Gable,HdBoard,HdBoard,None,3,PConc,4,1168.0,5,1187,1187,2,1,3,6,0,0,Attchd,3,2.0,420.0,WD ,185000,18,3,18.0
624,RL,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,MetalSd,MetalSd,BrkFace,3,CBlock,3,1453.0,5,1453,1453,2,1,3,6,1,3,Attchd,2,2.0,530.0,WD ,187500,48,48,48.0
86,RL,Lvl,Inside,Sawyer,RRAe,1Fam,1Story,5,Gable,MetalSd,MetalSd,None,3,CBlock,3,894.0,5,894,894,1,1,3,5,1,4,Detchd,1,1.0,336.0,WD ,138500,45,1,37.0
1534,RL,HLS,Inside,Crawfor,Norm,1Fam,1.5Fin,5,Gable,WdShing,Wd Shng,None,3,CBlock,3,942.0,5,1265,1938,2,1,4,7,1,4,Detchd,1,1.0,240.0,WD ,198000,71,13,71.0
2243,C (all),Lvl,Inside,IDOTRR,Feedr,2fmCon,2Story,5,Gable,VinylSd,VinylSd,None,3,CBlock,3,957.0,2,1034,1991,2,2,3,9,0,0,None,0,0.0,0.0,WD ,119600,112,1,0.0
1957,RL,Lvl,Corner,NAmes,Artery,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,None,3,CBlock,3,672.0,5,672,924,1,1,3,6,1,1,Detchd,1,2.0,576.0,WD ,122900,58,1,4.0
2860,RL,HLS,Corner,Crawfor,Norm,1Fam,2Story,8,Gable,BrkFace,Stucco,None,3,PConc,4,792.0,2,792,1517,1,1,4,7,2,4,Detchd,1,2.0,400.0,WD ,230000,77,56,75.0
2517,RL,Lvl,CulDSac,Veenker,Norm,TwnhsE,1Story,8,Hip,BrkFace,BrkFace,None,4,PConc,4,1494.0,5,1494,1494,1,1,5,6,1,4,Attchd,3,2.0,481.0,WD ,270000,11,10,11.0
1933,RL,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,Hip,Wd Sdng,Wd Sdng,None,3,CBlock,3,948.0,3,948,948,1,1,3,5,0,0,Detchd,1,2.0,410.0,WD ,125000,55,55,55.0
820,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,Hip,VinylSd,VinylSd,Stone,4,PConc,5,1705.0,5,1718,1718,2,1,4,7,1,4,Attchd,2,3.0,826.0,WD ,297000,2,1,2.0
675,RL,HLS,Inside,NAmes,Norm,1Fam,1Story,6,Flat,Wd Sdng,Wd Sdng,BrkFace,3,CBlock,4,160.0,2,1142,1142,1,1,3,5,1,4,Basment,2,1.0,384.0,WD ,113500,51,51,51.0
2910,RM,Lvl,Inside,MeadowV,Norm,TwnhsE,2Story,5,Gable,CemntBd,CmentBd,None,3,PConc,3,757.0,5,925,1475,2,1,3,6,1,3,Attchd,2,1.0,336.0,WD ,127000,29,29,29.0
21,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,Hip,Plywood,Plywood,BrkFace,3,CBlock,4,1844.0,5,1844,1844,2,1,3,7,1,3,Attchd,2,2.0,546.0,COD,190000,33,33,33.0
1873,RL,Lvl,Inside,NWAmes,Norm,1Fam,1Story,7,Hip,HdBoard,HdBoard,BrkFace,3,CBlock,3,1242.0,2,1242,1242,1,1,3,6,1,3,Attchd,1,2.0,528.0,WD ,175500,34,34,34.0
2125,RL,Lvl,Inside,CollgCr,Norm,1Fam,1Story,5,Gable,VinylSd,VinylSd,None,3,PConc,4,990.0,5,990,990,1,1,3,5,0,0,Detchd,1,1.0,384.0,WD ,146000,13,13,12.0
1489,RL,Lvl,Inside,Edwards,Norm,1Fam,1Story,5,Gable,HdBoard,HdBoard,None,4,CBlock,3,1256.0,4,1256,1256,1,1,3,6,0,0,Attchd,3,1.0,276.0,WD ,147500,43,43,43.0
983,RL,Lvl,Corner,Mitchel,Norm,1Fam,SFoyer,5,Gable,Plywood,Plywood,BrkFace,3,PConc,4,1097.0,5,1110,1110,1,1,4,4,1,3,Attchd,3,2.0,602.0,WD ,165500,31,31,31.0
1325,RM,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,Gable,MetalSd,MetalSd,BrkFace,3,BrkTil,3,1050.0,5,1050,1795,2,1,3,7,0,0,Attchd,1,1.0,352.0,WD ,131500,54,54,54.0
1378,RL,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,3,CBlock,3,1040.0,5,1040,1040,1,1,3,5,0,0,Detchd,1,1.0,384.0,WD ,129500,43,43,43.0
